jd,a_mag,a_mag_err,b_mag,b_mag_err
4194.0,17.52,0.05,17.78,0.06
4227.6,17.51,0.06,17.69,0.08
4304.4,17.64,0.04,17.74,0.05
4315.4,17.63,0.04,17.78,0.05
4323.6,17.51,0.05,17.74,0.07
4337.4,17.60,0.04,17.77,0.05
4339.0,17.54,0.03,17.69,0.04
4344.0,17.56,0.03,17.68,0.04
4378.8,17.58,0.03,17.70,0.04
4406.0,17.58,0.03,17.76,0.04
4554.0,17.64,0.03,17.62,0.04
4556.7,17.66,0.04,17.61,0.05
4607.0,17.57,0.02,17.73,0.03
4632.5,17.59,0.04,17.70,0.05
4636.5,17.54,0.02,17.66,0.03
4662.5,17.57,0.03,17.68,0.04
4673.4,17.53,0.04,17.60,0.05
4693.0,17.52,0.03,17.67,0.04
4720.8,17.50,0.03,17.66,0.04
4721.4,17.53,0.04,17.67,0.05
4723.8,17.56,0.03,17.64,0.04
4724.4,17.55,0.03,17.65,0.04
4724.8,17.53,0.03,17.64,0.04
4730.4,17.53,0.04,17.59,0.05
4731.0,17.55,0.03,17.62,0.04
4736.0,17.51,0.03,17.56,0.04
4905.0,17.62,0.03,17.69,0.04
4934.1,17.43,0.03,17.70,0.04
4993.0,17.49,0.03,17.60,0.04
5015.5,17.52,0.03,17.67,0.04
5023.0,17.53,0.03,17.62,0.04
5043.4,17.37,0.03,17.53,0.04
5055.4,17.33,0.03,17.58,0.04
5073.4,17.43,0.03,17.58,0.04
5085.3,17.45,0.03,17.66,0.04
5085.4,17.49,0.03,17.64,0.04
5087.3,17.44,0.03,17.55,0.04
5102.3,17.50,0.03,17.67,0.04
5108.3,17.53,0.03,17.68,0.04
5118.0,17.47,0.03,17.61,0.04
5134.3,17.42,0.04,17.66,0.05
5285.0,17.32,0.03,17.54,0.04
5293.0,17.34,0.03,17.53,0.04
5294.0,17.35,0.03,17.58,0.04
5295.0,17.42,0.03,17.63,0.04
5352.6,17.39,0.03,17.71,0.04
5374.4,17.40,0.03,17.58,0.04
5379.0,17.41,0.03,17.56,0.04
5381.0,17.43,0.03,17.63,0.04
5405.3,17.31,0.03,17.62,0.04
5428.3,17.36,0.03,17.58,0.04
5431.4,17.36,0.03,17.62,0.04
5432.3,17.33,0.04,17.63,0.05
5436.3,17.36,0.03,17.69,0.04
5440.3,17.38,0.03,17.66,0.04
5441.3,17.37,0.03,17.65,0.04
5458.3,17.33,0.04,17.53,0.05
5461.0,17.40,0.03,17.52,0.04
5473.0,17.41,0.03,17.53,0.04
5488.3,17.32,0.04,17.63,0.05
5515.3,17.36,0.05,17.67,0.06
5671.7,17.37,0.03,17.43,0.04
5674.0,17.35,0.02,17.46,0.03
5676.0,17.38,0.03,17.45,0.04
5697.6,17.37,0.02,17.43,0.03
5698.0,17.38,0.02,17.44,0.03
5699.0,17.40,0.02,17.46,0.03
5700.0,17.37,0.02,17.40,0.03
5701.0,17.37,0.02,17.43,0.03
5706.0,17.37,0.02,17.45,0.03
5724.5,17.39,0.03,17.37,0.04
5728.4,17.39,0.02,17.40,0.03
5731.6,17.37,0.03,17.35,0.04
5733.7,17.37,0.03,17.39,0.04
5735.6,17.38,0.02,17.35,0.03
5736.5,17.38,0.02,17.38,0.03
5751.4,17.45,0.03,17.37,0.04
5791.0,17.56,0.03,17.43,0.04
5796.3,17.49,0.03,17.44,0.04
5811.3,17.60,0.03,17.43,0.04
5818.3,17.59,0.02,17.43,0.03
5826.4,17.60,0.03,17.41,0.04
6001.1,17.47,0.03,17.46,0.03
6001.7,17.48,0.03,17.42,0.04
6004.7,17.46,0.02,17.38,0.03
6032.6,17.46,0.02,17.36,0.03
6039.7,17.43,0.03,17.30,0.04
6090.5,17.52,0.03,17.37,0.04
6094.6,17.55,0.03,17.41,0.04
6112.7,17.46,0.03,17.34,0.04
6117.5,17.43,0.02,17.32,0.03
6138.4,17.37,0.04,17.39,0.05
6148.5,17.45,0.02,17.39,0.03
6149.4,17.41,0.03,17.35,0.04
6166.4,17.35,0.04,17.42,0.05
6168.4,17.40,0.03,17.41,0.04
6176.3,17.38,0.03,17.51,0.04
6182.3,17.36,0.04,17.48,0.05
6188.4,17.39,0.03,17.55,0.05
6253.3,17.41,0.05,17.57,0.06
6274.3,17.35,0.06,17.63,0.08
6411.6,17.47,0.03,17.46,0.04
6412.7,17.49,0.03,17.49,0.03
6420.4,17.53,0.03,17.60,0.04
6420.7,17.58,0.02,17.56,0.03
6445.5,17.41,0.02,17.45,0.03
6449.6,17.42,0.04,17.43,0.05
6469.6,17.41,0.02,17.43,0.03
6493.6,17.45,0.03,17.41,0.04
6494.6,17.42,0.02,17.38,0.03
6495.3,17.43,0.02,17.37,0.03
6504.3,17.48,0.02,17.47,0.03
6519.4,17.49,0.03,17.40,0.04
6521.4,17.46,0.03,17.44,0.04
6525.3,17.53,0.02,17.46,0.03
6562.4,17.54,0.03,17.51,0.04
6563.4,17.51,0.02,17.46,0.03
6578.4,17.53,0.04,17.43,0.05
6581.4,17.50,0.04,17.41,0.05
6735.5,17.36,0.02,17.46,0.03
6765.7,17.41,0.02,17.59,0.03
6776.7,17.31,0.04,17.56,0.05
6815.4,17.34,0.04,17.54,0.06
6817.6,17.38,0.03,17.43,0.04
6818.5,17.40,0.02,17.42,0.03
6820.6,17.37,0.02,17.40,0.03
6832.7,17.49,0.03,17.49,0.04
6877.3,17.34,0.02,17.42,0.03
6902.4,17.40,0.02,17.51,0.03
6937.5,17.48,0.02,17.50,0.03
7120.5,17.26,0.03,17.43,0.04
